longitude	latitude	depth	Scaled Size
70.578	38.7827	10	0.2
95.0575	31.995	10	0.2
71.6665	39.1964	10	0.2
71.5082	39.1651	10	0.2
98.9264	33.0798	10	0.2
77.4623	39.8705	10	0.2
77.4275	39.8496	10	0.2
77.3011	39.6252	10	0.2
93.3736	31.646	27.2	0.2
77.1456	39.7276	10	0.2
74.474	35.0149	10	0.2
74.6387	35.6305	24.32	0.2
74.4751	35.6686	10	0.2
86.9509	32.4723	10	0.2
72.6437	39.4018	10	0.2
78.0194	39.9338	10	0.2
68.9622	36.0347	10	0.2
70.7941	36.4769	141.79	0.2
67.0685	36.9981	34.77	0.2
84.2884	30.4965	15.1	0.2
85.8214	27.7986	10	0.2
71.6677	37.2581	10	0.2
81.1433	29.3228	10	0.2
71.5096	36.4665	97.63	0.2
93.3051	26.1728	51.25	0.2
70.1149	36.5503	209.88	0.2
88.9719	35.2589	10	0.2
73.5759	32.9796	42.77	0.2
70.6021	36.5287	202.56	0.2
70.6409	36.5069	203.28	0.2
71.2071	36.5983	94.62	0.2
91.3145	27.293	10	0.2
89.0298	37.9095	10	0.2
88.6904	37.8609	13.75	0.2
73.6318	33.0481	10	0.2
73.7936	33.0779	10	0.2
68.4308	36.082	27.85	0.2
70.2215	38.6428	10	0.2
70.6855	36.6697	261.4	0.2
76.181	32.9804	43.93	0.2
76.1758	33.0736	10	0.2
70.645	36.4497	201.66	0.2
96.1069	26.4642	105.63	0.2
69.3398	36.3898	42.93	0.2
94.7951	30.4025	10	0.2
70.693	36.4389	207.71	0.2
94.8628	30.3683	10	0.2
94.83	30.4829	10	0.2
90.5058	38.7808	10	0.2
94.7964	30.4088	10	0.2
94.8662	30.4138	10	0.2
94.8731	30.3447	10	0.2
71.5345	37.1698	110.74	0.2
96.6433	25.6762	10	0.2
71.2747	36.6761	226.29	0.2
96.8919	25.2858	10	0.2
71.3439	36.5337	117.39	0.2
68.3806	36.7478	27.35	0.2
92.8044	27.7365	10	0.2
92.7236	27.7047	10	0.2
92.8302	27.7188	15	0.2
91.1874	31.7644	11.93	0.2
70.7671	36.2462	104.27	0.2
70.9234	36.6268	75.83	0.2
71.6055	39.335	10	0.2
82.5671	33.6308	10	0.2
87.173	28.4217	84.75	0.2
72.2752	34.6122	31.11	0.2
72.8572	34.6813	12.9	0.2
94.8689	25.0414	65.32	0.2
87.5686	30.3347	10	0.2
87.661	30.3288	10	0.2
84.7453	27.9487	10	0.2
95.7216	26.2288	85.93	0.2
68.2985	36.382	43.3	0.2
73.7091	39.1983	35	0.2
97.4037	39.1384	19.58	0.2
93.0258	26.4403	43.81	0.2
85.0667	27.7651	27.34	0.2
94.4235	25.4467	61.78	0.2
90.4226	36.7398	13.78	0.2
90.9962	38.3785	10	0.2
70.0381	30.9605	10	0.2
70.8958	36.5711	195.19	0.2
70.0655	31.0122	10	0.2
67.4271	29.7206	10	0.2
71.2685	36.4606	115.1	0.2
69.1743	36.3801	53.99	0.2
69.8334	38.6793	10	0.2
97.2055	38.4699	9.59	0.2
68.9772	38.5249	10	0.2
96.3645	27.3345	10	0.2
74.1694	35.103	20.67	0.2
87.6754	30.3859	9.97	0.2
87.6229	30.3908	9.85	0.2
95.1522	30.0401	10	0.2
70.7737	38.9006	10	0.2
75.7112	39.6095	18.28	0.2
78.2373	34.3645	34.51	0.2
77.6122	39.8478	9.01	0.2
96.6002	26.4496	115.7	0.2
87.4547	30.1798	10	0.2
86.7946	30.4684	10	0.2
74.744	39.1614	10	0.2
74.7587	39.0994	13.65	0.2
81.0515	35.1488	7.79	0.2
67.6466	29.9821	10	0.2
71.2354	36.5617	224.85	0.2
70.461	36.1086	117.76	0.2
70.5372	36.5254	201.18	0.2
98.825	29.6624	22.78	0.2
98.7762	29.7432	26.49	0.2
74.7084	39.0284	10	0.2
69.8699	30.0498	10	0.2
74.1982	38.1403	165.36	0.2
70.5689	38.5543	10	0.2
92.6174	28.0036	10	0.2
68.6867	35.8078	21.76	0.2
96.9185	27.1986	11	0.2
67.4659	36.4519	12.51	0.2
69.6289	35.5051	99.45	0.2
70.2336	37.6598	14.59	0.2
90.3241	32.8748	10	0.2
83.9207	34.1017	14.92	0.2
87.4647	30.2891	10	0.2
87.6483	30.3789	10	0.2
75.1483	39.4323	19.53	0.2
78.1243	34.2342	10	0.2
78.0838	34.2929	10	0.2
72.5009	37.3256	10	0.2
87.7783	30.4664	13.83	0.2
70.5953	38.4779	10	0.2
73.8932	38.4095	122.97	0.2
89.2072	33.5346	10	0.2
84.0333	34.1705	10	0.2
72.2183	39.2651	10	0.2
72.4117	37.8619	132.18	0.2
75.1609	39.4189	27.05	0.2
70.5471	36.5308	194.81	0.2
83.8895	34.0874	10	0.2
82.6252	39.6858	14.98	0.2
80.6903	34.2169	10	0.2
72.2617	37.4186	204.88	0.2
70.5652	38.4785	10	0.2
90.1611	26.3711	10	0.2
71.0343	36.503	161.49	0.2
76.8101	28.6531	10	0.2
76.7137	39.587	22.62	0.2
76.8783	39.3941	10	0.2
76.8745	39.4095	10	0.2
71.3681	39.6071	9.19	0.2
88.8284	33.1511	26.62	0.2
71.8774	36.986	227.48	0.2
81.0371	35.0467	10	0.2
92.1552	34.9356	18.74	0.2
87.6027	30.3493	10	0.2
69.4739	36.1883	122.75	0.2
